Product ID,Category,Sub-Category,Product Name
TEC-PH-5816,Technology,Phones,Samsung Convoy 3
FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black"
TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID"
TEC-PH-5267,Technology,Phones,"Motorola Smart Phone, Cordless"
TEC-CO-6011,Technology,Copiers,"Sharp Wireless Fax, High-Speed"
TEC-PH-5842,Technology,Phones,"Samsung Smart Phone, with Caller ID"
FUR-CH-5378,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable"
FUR-TA-3764,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled"
FUR-BO-5957,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish"
FUR-CH-4421,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
OFF-AR-5309,Office Supplies,Art,Newell 330
FUR-TA-3420,Furniture,Tables,"Bevis Conference Table, Fully Assembled"
TEC-PH-3807,Technology,Phones,"Cisco Smart Phone, with Caller ID"
FUR-CH-4530,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-4959,Office Supplies,Appliances,"KitchenAid Microwave, White"
OFF-AP-3575,Office Supplies,Appliances,"Breville Refrigerator, Red"
OFF-ST-3078,Office Supplies,Storage,Akro Stacking Bins
OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red"
TEC-CO-3597,Technology,Copiers,"Brother Fax Machine, High-Speed"
OFF-AP-4967,Office Supplies,Appliances,"KitchenAid Stove, White"
FUR-TA-4644,Furniture,Tables,"Hon Computer Table, with Bottom Storage"
OFF-ST-3744,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit"
FUR-CH-5774,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
OFF-AP-4960,Office Supplies,Appliances,"KitchenAid Refrigerator, Black"
TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size"
FUR-TA-4643,Furniture,Tables,"Hon Computer Table, Fully Assembled"
FUR-TA-5060,Furniture,Tables,"Lesro Conference Table, with Bottom Storage"
OFF-AP-4743,Office Supplies,Appliances,"Hoover Stove, Red"
OFF-FA-6129,Office Supplies,Fasteners,Staples
FUR-CH-5443,Furniture,Chairs,"Office Star Executive Leather Armchair, Red"
TEC-PH-5841,Technology,Phones,"Samsung Smart Phone, VoIP"
TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless"
TEC-PH-4389,Technology,Phones,Geemarc AmpliPOWER60
OFF-AP-3579,Office Supplies,Appliances,"Breville Stove, Red"
OFF-ST-4291,Office Supplies,Storage,Fellowes Super Stor/Drawer Files
TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size"
FUR-CH-4840,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
TEC-AC-6340,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack"
TEC-CO-3598,Technology,Copiers,"Brother Fax Machine, Laser"
TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID"
TEC-PH-5268,Technology,Phones,"Motorola Smart Phone, Full Size"
TEC-PH-5269,Technology,Phones,"Motorola Smart Phone, with Caller ID"
FUR-BO-5951,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional"
TEC-PH-5267,Technology,Phones,"Motorola Smart Phone, Cordless"
OFF-AP-3874,Office Supplies,Appliances,"Cuisinart Stove, Silver"
FUR-FU-4072,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony"
FUR-CH-5441,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable"
